vendor_name_raw,spend_usd,department,category,description_1l,suggestion,confidence,rationale_short,suspected_duplicates
Mcburneys Charted Accountants,2711.0,Finance,Audit/Tax,UK chartered accountancy firm providing audit and tax services,Optimize costs,High,Standard accounting services; review engagement terms,
Cleverland Winery Resort,2663.0,G&A,Travel & Expense,Winery resort accommodation for team events or travel,Consolidate,Medium,Consolidate venue bookings with preferred vendors,
Ag Grid Ltd,2653.0,Engineering,SaaS,JavaScript data grid component library for web applications,Optimize costs,High,Evaluate usage vs alternatives like Tanstack Table,
4Imprint Direct Ltd,2436.0,Marketing,Marketing/SEO/PR,Promotional products and branded merchandise supplier,Consolidate,Medium,Consolidate swag vendors to reduce overhead,
City Pantry Ltd,2419.0,Facilities,General Ops,Office meal delivery and catering service,Consolidate,High,Consolidate with other meal providers,City Pantry Ltd;Lunch Nutrition D.O.O.;Oladi D.O.O.
Stipe Piric,2302.0,Professional Services,Professional Services,Individual contractor for professional services,Consolidate,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic
Office Move London,2293.0,Facilities,General Ops,Office relocation and moving services provider,Terminate,High,One-time service; should be complete,
Pink Ribbon Shop,2251.0,Marketing,Marketing/SEO/PR,Charity merchandise or promotional items,Terminate,Low,Low spend; unclear business purpose,
N S Shastri And Co,2194.0,Finance,Audit/Tax,Indian chartered accountancy and tax consulting firm,Optimize costs,High,Regional accounting services; review rates,
John Smith,2163.0,Professional Services,Professional Services,Individual contractor for professional services,Consolidate,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic
Fabiola Thistlewhaite,2154.0,Professional Services,Professional Services,Individual contractor for professional services,Consolidate,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic
Hp Inc Uk Limited,2136.0,G&A,Security/IT Ops,HP hardware equipment and IT supplies,Consolidate,High,Consolidate hardware vendors for better pricing,
George Anchor,2107.0,Professional Services,Professional Services,Individual contractor for professional services,Consolidate,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic
"Yoxel, Inc",2044.0,Engineering,Productivity/Collab,Team collaboration and productivity software platform,Optimize costs,Medium,Review usage and license counts,
Grt Hotels And Resorts P Ltd,2032.0,G&A,Travel & Expense,Hotel accommodation for business travel,Consolidate,High,Consolidate hotel bookings with travel policy,Grt Hotels And Resorts P Ltd;Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd
G S Notary Public Limited,1935.0,Legal,Legal Services,Notary public services for legal documentation,Optimize costs,High,Standard legal service; negotiate rates,
Porezno Savjetniå¡Tvo Tuk D.O.O.,1813.0,Finance,Audit/Tax,Croatian tax consulting and advisory services,Optimize costs,Medium,Regional tax services for Croatian operations,
Susan Lee,1762.0,Professional Services,Professional Services,Individual contractor for professional services,Consolidate,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic
Ansar Madovic,1732.0,Professional Services,Professional Services,Individual contractor for professional services,Consolidate,Medium,Consolidate individual contractors where possible,Stipe Piric;John Smith;Fabiola Thistlewhaite;George Anchor;Susan Lee;Ansar Madovic
"Radius Group, Inc",1723.0,G&A,Travel & Expense,Travel management or corporate travel services,Consolidate,Medium,Consolidate with primary travel provider,
Aquila Remete D.O.O.,1706.0,Facilities,General Ops,Croatian restaurant or event venue services,Consolidate,Medium,Consolidate venue providers in region,
Clime India Private Limited,1678.0,G&A,General Ops,Indian operational services provider,Optimize costs,Low,Unclear service category; needs validation,
"Golden Mean, Inc",1659.0,Professional Services,Professional Services,Professional consulting or advisory services,Optimize costs,Low,Unclear business purpose; review necessity,
Paint & Fun Vl. Martina Milkova Nikolova,1654.0,G&A,General Ops,Team building activity and entertainment service,Consolidate,Medium,Consolidate team event vendors,
Carrington Communications,1654.0,Marketing,Marketing/SEO/PR,Public relations and communications agency,Optimize costs,High,Review PR engagement scope and ROI,
Crayond Digital Private Limited,1646.0,Marketing,Marketing/SEO/PR,Digital marketing and web development agency,Consolidate,High,Consolidate digital agencies for efficiency,
Studentski Centar Karlovac,1549.0,G&A,General Ops,Croatian student center venue for events,Consolidate,Medium,Consolidate venue bookings in region,
Lajnap Comedy Booking D.O.O.,1536.0,G&A,General Ops,Comedy entertainment booking for team events,Terminate,Medium,Low-value entertainment expense; reconsider,
British Telecommunications,1493.0,G&A,Telecom,Telecommunications services provider,Consolidate,High,Consolidate telecom vendors for better rates,
