vendor_name_raw,spend_usd,department,category,description_1l,suggestion,confidence,rationale_short,suspected_duplicates
Cloudcrossing Bvba,208675.0,Engineering,Cloud,Cloud infrastructure and hosting services provider,Optimize costs,Medium,High spend suggests review for cloud optimization,
Zagrebtower D.O.O.,183754.0,Facilities,Coworking/Office,Office space or coworking facility in Zagreb,Optimize costs,Medium,Large facilities spend warrants cost review,Gpt Space & Co;Veniture D.O.O.;Work Easy Space Solutions Private Limited
Weking D.O.O.,144093.0,Facilities,Coworking/Office,Office or workplace services provider,Optimize costs,Low,Croatian entity likely office-related but unclear,Zagrebtower D.O.O.;Veniture D.O.O.
Gpt Space & Co,133507.0,Facilities,Coworking/Office,Coworking or office space provider,Consolidate,High,Multiple office space vendors suggest consolidation,Zagrebtower D.O.O.;Veniture D.O.O.;Work Easy Space Solutions Private Limited
Hr Solution International Gmbh,80823.0,G&A,Recruiting,HR and recruiting solutions provider,Optimize costs,High,HR software should be evaluated for ROI,
4I Advisory Services,71860.0,Professional Services,General Ops,Business advisory and consulting services,Consolidate,High,Duplicate with 4I Management Consulting,4I Management Consulting Private Limited
Big Frontier Pty Ltd (Cult Of Monday),66131.0,G&A,General Ops,Team culture and employee engagement services,Terminate,Medium,Culture programs should justify ROI or terminate,
Harmonic Group Limited,65418.0,Professional Services,General Ops,Business consulting and advisory services,Optimize costs,Low,Generic consulting requires scope clarity,
Tmforum,57560.0,Engineering,General Ops,Telecom and IT industry association membership,Optimize costs,High,Association membership should show clear value,
Kimble Applications Ltd,52825.0,Professional Services,Productivity/Collab,Professional services automation software platform,Optimize costs,High,PSA software spend should align with usage,
"SveuäIliå¡Te U Zagrebu, Studentski Centar",44299.0,G&A,Recruiting,Zagreb student center for internship recruiting,Optimize costs,Medium,Recruiting partnership costs should be evaluated,Accutrainee Limited
Ss&C Intralinks Inc,39966.0,M&A,Productivity/Collab,Virtual data room for M&A transactions,Optimize costs,High,VDR costs tied to deal activity,
Veniture D.O.O.,39342.0,Facilities,Coworking/Office,Coworking or office space provider,Consolidate,High,Multiple office vendors suggest consolidation opportunity,Zagrebtower D.O.O.;Gpt Space & Co;Work Easy Space Solutions Private Limited
Accutrainee Limited,38841.0,G&A,Recruiting,Training and recruitment services,Consolidate,Medium,Multiple recruiting vendors could be consolidated,"SveuäIliå¡Te U Zagrebu, Studentski Centar"
"Houlihan Lokey Advisors, Llc",37461.0,M&A,Professional Services,Investment banking and M&A advisory,Optimize costs,High,M&A advisory tied to transaction activity,Vector Capital Management Lp;Westbrook Advisers
Vector Capital Management Lp,32427.0,M&A,Professional Services,Private equity and M&A advisory services,Optimize costs,Medium,Multiple M&A advisors suggest possible overlap,"Houlihan Lokey Advisors, Llc";Westbrook Advisers
Nefron - Obrt Za Poslovne Usluge,30614.0,Professional Services,General Ops,Croatian business services provider,Optimize costs,Low,Generic services require clearer scope definition,Bijeli Pijesak Obrt Za Poslovno Savjetovanje
Uberflip,26091.0,Marketing,Marketing/SEO/PR,Content marketing and experience platform,Optimize costs,High,Marketing tech spend should align with usage,
Agram Life Osiguranje D.O.O.,24952.0,G&A,General Ops,Croatian life insurance provider for employees,Optimize costs,High,Employee insurance should be competitively priced,
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,24135.0,Legal,Legal Services,Croatian law firm for legal services,Optimize costs,High,Legal services should be usage-based,
