vendor_name_raw,spend_usd,department,category,description_1l,suggestion,confidence,rationale_short,suspected_duplicates
Time Out Group,920.0,Marketing,Marketing/SEO/PR,Media and events publishing company,Optimize costs,High,Event/media services can be optimized,Time Out Group;Urbani Eventi D.O.O.;Blink Events
Raiffeisenbank Austria D.D.,920.0,Finance,Finance Systems,Banking services for Croatian operations,Optimize costs,High,Review for fee optimization,
Galop-Prijevoz D.O.O.,908.0,Facilities,General Ops,Croatian transport and delivery service,Consolidate,Medium,Consolidate with other transport vendors,Galop-Prijevoz D.O.O.;Trans-Agram Obrt Za Dostavu;Croatia Airlines;Greencell Express Private Limited;Lancefield Bus Service;Super Odredište D.O.O.
Lane Ip Limited,851.0,Legal,Legal Services,Intellectual property legal services,Consolidate,High,Consolidate IP services with main firm,Lane Ip Limited;Kilgannon & Partners Llp;Pixsy Inc;Franklin, Gringer & Cohen, P.C.
Urbani Eventi D.O.O.,851.0,Marketing,Marketing/SEO/PR,Event planning and management services,Consolidate,High,Consolidate event vendors to single provider,Time Out Group;Urbani Eventi D.O.O.;Blink Events
Smashing Media Ag,850.0,Marketing,Marketing/SEO/PR,Digital media and content services,Optimize costs,High,Evaluate subscription value vs usage,Smashing Media Ag;Merchandise Ltd
Epignosis Llc,833.0,SaaS,Productivity/Collab,Learning management system platform,Optimize costs,High,Review license utilization and pricing,
Croatia Airlines,832.0,G&A,Travel & Expense,Air travel services in Croatia region,Consolidate,High,Consolidate under corporate travel policy,Galop-Prijevoz D.O.O.;Trans-Agram Obrt Za Dostavu;Croatia Airlines;Greencell Express Private Limited;Lancefield Bus Service;Super Odredište D.O.O.
Bb Football Scouting J.D.O.O.,823.0,G&A,General Ops,Sports scouting or team building service,Terminate,Low,Unclear business purpose; verify necessity,
Boe Croatia D.O.O.,814.0,G&A,General Ops,Croatian business services provider,Terminate,Low,Ambiguous service type requires validation,
Potomac D.O.O.,806.0,G&A,General Ops,Croatian business services provider,Terminate,Low,Unclear business purpose and value,
"President Hotel And Tower Co., Ltd",803.0,G&A,Travel & Expense,Hotel accommodation in Asia,Consolidate,High,Consolidate hotels under travel policy,President Hotel And Tower Co., Ltd;Hotel Zonar;Marvie Hotel - Krupa D.O.O.;Obiteljski Hoteli D.O.O.;Edwardian Pastoria Hotels Ltd (The Londoner)
Friends Sports Club,797.0,Facilities,General Ops,Employee recreation and wellness facility,Optimize costs,Medium,Review membership utilization rates,
The Cycle Gap Adyar,765.0,G&A,General Ops,Bicycle shop or transport service in Chennai,Terminate,Low,One-time purchase; no ongoing need,
Kilgannon & Partners Llp,681.0,Legal,Legal Services,Legal advisory and consulting services,Consolidate,High,Consolidate legal vendors to primary firm,Lane Ip Limited;Kilgannon & Partners Llp;Pixsy Inc;Franklin, Gringer & Cohen, P.C.
Uk Postbox Limited,670.0,Facilities,General Ops,UK mail forwarding and virtual address,Optimize costs,Medium,Review ongoing need for service,
Blink Events,664.0,Marketing,Marketing/SEO/PR,Event production and management services,Consolidate,High,Consolidate event vendors to reduce overlap,Time Out Group;Urbani Eventi D.O.O.;Blink Events
Grafo-Jan,662.0,Marketing,General Ops,Printing or graphic design services,Optimize costs,Low,Ambiguous vendor; verify service type,
Mesa Verde,662.0,G&A,General Ops,Restaurant or catering services,Consolidate,Medium,Consolidate food vendors under policy,Mesa Verde;Obrt Za Ugostiteljstvo Mirakul;Oakberry Jr D.O.O.;Magic Mountain Saloon;Yellow Submarine D.O.O.;Vivat Fina Vina D.O.O.;Del Posto D.O.O.
Pixsy Inc,613.0,Legal,Legal Services,Image copyright protection platform,Optimize costs,High,Review subscription necessity and ROI,Lane Ip Limited;Kilgannon & Partners Llp;Pixsy Inc;Franklin, Gringer & Cohen, P.C.
Dun & Bradstreet D.O.O.,610.0,Finance,Finance Systems,Business intelligence and credit reporting,Optimize costs,High,Review subscription tier vs usage,
Trans-Agram Obrt Za Dostavu,581.0,Facilities,General Ops,Croatian delivery and courier service,Consolidate,Medium,Consolidate delivery services,Galop-Prijevoz D.O.O.;Trans-Agram Obrt Za Dostavu;Croatia Airlines;Greencell Express Private Limited;Lancefield Bus Service;Super Odredište D.O.O.
Arena Center Zagreb D.O.O.,567.0,Facilities,Coworking/Office,Event venue or meeting space in Zagreb,Optimize costs,Medium,Review frequency of use vs cost,
Obrt Za Ugostiteljstvo Mirakul,565.0,G&A,General Ops,Croatian restaurant or catering service,Consolidate,Medium,Consolidate food vendors,Mesa Verde;Obrt Za Ugostiteljstvo Mirakul;Oakberry Jr D.O.O.;Magic Mountain Saloon;Yellow Submarine D.O.O.;Vivat Fina Vina D.O.O.;Del Posto D.O.O.
Oakberry Jr D.O.O.,535.0,G&A,General Ops,Acai bowl restaurant chain,Consolidate,High,Consolidate meal vendors under T&E policy,Mesa Verde;Obrt Za Ugostiteljstvo Mirakul;Oakberry Jr D.O.O.;Magic Mountain Saloon;Yellow Submarine D.O.O.;Vivat Fina Vina D.O.O.;Del Posto D.O.O.
Tau On-Line D.O.O.,534.0,SaaS,Other,Croatian online service or software,Terminate,Low,Unclear service type; validate necessity,
Magic Mountain Saloon,524.0,G&A,General Ops,Restaurant or bar services,Consolidate,Medium,Consolidate food/entertainment vendors,Mesa Verde;Obrt Za Ugostiteljstvo Mirakul;Oakberry Jr D.O.O.;Magic Mountain Saloon;Yellow Submarine D.O.O.;Vivat Fina Vina D.O.O.;Del Posto D.O.O.
Hotel Zonar,523.0,G&A,Travel & Expense,Hotel accommodation services,Consolidate,High,Consolidate hotels under travel policy,President Hotel And Tower Co., Ltd;Hotel Zonar;Marvie Hotel - Krupa D.O.O.;Obiteljski Hoteli D.O.O.;Edwardian Pastoria Hotels Ltd (The Londoner)
Roto Dinamic D.O.O.,512.0,Marketing,General Ops,Printing or manufacturing services,Optimize costs,Low,Unclear service; verify ongoing need,
Tm Forum,510.0,G&A,General Ops,Telecom industry association membership,Terminate,High,Review membership ROI and utilization,
Marvie Hotel - Krupa D.O.O.,502.0,G&A,Travel & Expense,Hotel accommodation in Croatia,Consolidate,High,Consolidate hotels under travel policy,President Hotel And Tower Co., Ltd;Hotel Zonar;Marvie Hotel - Krupa D.O.O.;Obiteljski Hoteli D.O.O.;Edwardian Pastoria Hotels Ltd (The Londoner)
Merchandise Ltd,490.0,Marketing,Marketing/SEO/PR,Promotional products and branded merchandise,Optimize costs,High,Review ordering frequency and discounts,Smashing Media Ag;Merchandise Ltd
