vendor_name_raw,spend_usd
Studentski Centar - Split,8269.0
The Guardian,8070.0
Intertrust Singapore Corporate Services Pte Ltd - Csc,7360.0
Goto Technologies Uk Limited,7316.0
Hrsolution International Ag,6987.0
Obrt Sjaj Sunca,6596.0
Telefã³Nica Compras Electrã³Nicas S.L.,6157.0
Icici Lombard Gic Ltd,5972.0
Mosaic Concept D.O.O.,5731.0
Limes Plus D.O.O.,5624.0
Mercer Limited,5444.0
Acclime Corporate Services,5413.0
Green Commute Initiative,5402.0
Tattu Manchester Limited,5366.0
Athlete Service Ltd,5285.0
Telemach Hrvatska D.O.O.,5134.0
"Acclime Usa, Inc",4995.0
Centar Za Sigurnost D.O.O.,4991.0
Profi Bar D.O.O.,4917.0
Pinnacle Partnership Ca,4836.0
Australian Payroll Professionals Pty Ltd,4399.0
Inter Continental Chennai Mahabalipuram Resort,4393.0
Puducherry Backwater Resort Private Limited,4056.0
Orionw Llc,4025.0
Hep Elektra D.O.O.,3735.0
Zivi Napitak D.O.O.,3700.0
Gym4You D.O.O.,3692.0
Aha! Labs Inc,3689.0
"Kryterion, Inc.",3541.0
Npm Inc,3535.0
Pinsent Masons Mpillay Llp,4078.0
Calm Achiever(A Unit Of Mohsin Ali Vakil),4071.0
Pluxee India Private Limited,3994.0
Papertrail Inc,3900.0
Sniper Systems And Solutions Private Limited,3899.0
Trocadero (London) Hotel Ltd,3868.0
Ikea Hrvatska D.O.O.,3610.0
Orcola D.O.O.,3545.0
Info Edge India Limited,3536.0
Grad Split,3483.0
Akton D.O.O.,3254.0
Bureau Veritas Croatia D.O.O.,3200.0
Ncc Services Limited,3036.0
Good Game Global D.O.O.,2954.0
Garaå¾A Firule D.O.O.,2930.0
Crossland,2924.0
It London,2838.0
Terrapinn Holdings Ltd,2838.0
Elemental Life Solutions Llp,2807.0
United Flow Ltd (The Goodness Project),2744.0
