vendor_name_raw,spend_usd
Inicijativa Centar Za Edukaciju,358.0
Niva Transport J.D.O.O.,358.0
Doctor Anywhere Operations Pte Ltd,347.0
Spar Hrvatska D.O.O.,341.0
Pepe'S Italian And Liquor,339.0
"Pluralsight, Llc",318.0
Maniax Melbourne Cbd,315.0
Dnsimple,312.0
Treci Posao D.O.O.,307.0
Formswift,301.0
Safestore Ltd,287.0
Split Tech City,284.0
National Securities Depository Limited(Nsdl),281.0
Adamma Info Services Private Limited,273.0
The Riding House Cafe,265.0
Stillmark Zagreb D.O.O.,263.0
Taste Of Health,259.0
Infodata,241.0
Amazon (Aus),233.0
Regency Hampers Ltd,248.0
Bella Operation A/S,241.0
The Plant Man,235.0
Media Promo Plus D.O.O.,226.0
Expert-Ing D.O.O.,225.0
Djs For U,220.0
Freepik Company,203.0
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,199.0
Rishi Events And Entainment,198.0
Kosmaz Technologies Croatia,195.0
Dhl,191.0
Hotel Laguna D.D.,190.0
Bigshare Services Private Limited,188.0
Zettanet,183.0
Hahn Air,183.0
Vitality Works,182.0
Avoxi Inc,178.0
"Solarwinds, Inc",166.0
Xenon Savjetovanje D.O.O.,164.0
Floom Ltd,162.0
Notino S.R.O.,161.0
"Paint&Wine, Vl. Stevo Dosen",159.0
Parcelforce Worldwide,155.0
Advena,154.0
Hrvatski Nezavisnici Izvoznici Softvera,154.0
Monile J.D.O.O.,152.0
Puzzle Promotion J.D.O.O.,143.0
ZagrebaäKi Holding D.O.O.,143.0
Event Ors,143.0
Sportkart D.O.O.,141.0
"Interaction Design Foundation, Inc",138.0
