vendor_name_raw,spend_usd
Cloudcrossing Bvba,208675.0
Zagrebtower D.O.O.,183754.0
Weking D.O.O.,144093.0
Gpt Space & Co,133507.0
Hr Solution International Gmbh,80823.0
4I Advisory Services,71860.0
Big Frontier Pty Ltd (Cult Of Monday),66131.0
Harmonic Group Limited,65418.0
Tmforum,57560.0
Kimble Applications Ltd,52825.0
"SveuäIliå¡Te U Zagrebu, Studentski Centar",44299.0
Ss&C Intralinks Inc,39966.0
Veniture D.O.O.,39342.0
Accutrainee Limited,38841.0
"Houlihan Lokey Advisors, Llc",37461.0
Vector Capital Management Lp,32427.0
Nefron - Obrt Za Poslovne Usluge,30614.0
Uberflip,26091.0
Agram Life Osiguranje D.O.O.,24952.0
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,24135.0
New Star Networks(Nsn),23887.0
Shree Info System Solutions Pvt Ltd,22275.0
Mightyhive Ltd,19042.0
Eurofast International Ltd-Greec,18164.0
Sodexo Svc India Private Limited,17810.0
Peakon Aps,17108.0
Plus Your Business Ltd,17074.0
Benefit Systems D.O.O.,16900.0
Smart Group Services D.O.O.,16438.0
Jones Lang Lasalle (Nsw) Pty Ltd,16274.0
Konzum Plus D.O.O.,15684.0
Westbrook Advisers,15360.0
Work Easy Space Solutions Private Limited,14913.0
"Taxstudio, Ltd.",14642.0
Pingo D.O.O.,14508.0
Magazin Raunalni Sistemi D.O.O.,13870.0
Tp Prime D.O.O.,13785.0
Granttree Limited,13659.0
Collards Chartered Accountants,12879.0
4I Management Consulting Private Limited,12117.0
"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",11637.0
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,11605.0
Ramiro D.O.O.,11516.0
Visalogic Limited,11241.0
Poles Ltd - Hanbury Manor,10488.0
Shoff Darby Companies,10100.0
Emerge Development Consultancy Ltd,10046.0
Performancepro,10018.0
Omonia D.O.O.,9559.0
Cbre Limited,8395.0
