vendor_name_raw,spend_usd
Time Out Group,920.0
Raiffeisenbank Austria D.D.,920.0
Galop-Prijevoz D.O.O.,908.0
Lane Ip Limited,851.0
Urbani Eventi D.O.O.,851.0
Smashing Media Ag,850.0
Epignosis Llc,833.0
Croatia Airlines,832.0
Bb Football Scouting J.D.O.O.,823.0
Boe Croatia D.O.O.,814.0
Potomac D.O.O.,806.0
"President Hotel And Tower Co., Ltd",803.0
Friends Sports Club,797.0
The Cycle Gap Adyar,765.0
Kilgannon & Partners Llp,681.0
Uk Postbox Limited,670.0
Blink Events,664.0
Grafo-Jan,662.0
Mesa Verde,662.0
Pixsy Inc,613.0
Dun & Bradstreet D.O.O.,610.0
Trans-Agram Obrt Za Dostavu,581.0
Arena Center Zagreb D.O.O.,567.0
Obrt Za Ugostiteljstvo Mirakul,565.0
Oakberry Jr D.O.O.,535.0
Tau On-Line D.O.O.,534.0
Magic Mountain Saloon,524.0
Hotel Zonar,523.0
Roto Dinamic D.O.O.,512.0
Tm Forum,510.0
Marvie Hotel - Krupa D.O.O.,502.0
Merchandise Ltd,490.0
Yellow Submarine D.O.O.,486.0
Streamlinereforms Inc,483.0
Make And Grow Ltd,483.0
Obiteljski Hoteli D.O.O.,474.0
Rudan D.O.O.,473.0
Entrio Tehnologije D.O.O.,473.0
Vivat Fina Vina D.O.O.,467.0
E-Disti D.O.O.,458.0
Greencell Express Private Limited,457.0
Edwardian Pastoria Hotels Ltd (The Londoner),433.0
Tiganda J.D.O.O.,432.0
"Franklin, Gringer & Cohen, P.C.",427.0
Blitz - Cinestar D.O.O.,426.0
Lancefield Bus Service,412.0
Super Odrediå¡Te D.O.O.,378.0
Pmi Global Operations Center,378.0
Student Packers & Movers,371.0
Del Posto D.O.O.,364.0
