vendor_name_raw,spend_usd
Mcburneys Charted Accountants,2711.0
Cleverland Winery Resort,2663.0
Ag Grid Ltd,2653.0
4Imprint Direct Ltd,2436.0
City Pantry Ltd,2419.0
Stipe Piric,2302.0
Office Move London,2293.0
Pink Ribbon Shop,2251.0
N S Shastri And Co,2194.0
John Smith,2163.0
Fabiola Thistlewhaite,2154.0
Hp Inc Uk Limited,2136.0
George Anchor,2107.0
"Yoxel, Inc",2044.0
Grt Hotels And Resorts P Ltd,2032.0
G S Notary Public Limited,1935.0
Porezno Savjetniå¡Tvo Tuk D.O.O.,1813.0
Susan Lee,1762.0
Ansar Madovic,1732.0
"Radius Group, Inc",1723.0
Aquila Remete D.O.O.,1706.0
Clime India Private Limited,1678.0
"Golden Mean, Inc",1659.0
Paint & Fun Vl. Martina Milkova Nikolova,1654.0
Carrington Communications,1654.0
Crayond Digital Private Limited,1646.0
Studentski Centar Karlovac,1549.0
Lajnap Comedy Booking D.O.O.,1536.0
British Telecommunications,1493.0
Etm Concessions Ltd,1419.0
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,1406.0
Ariba Inc,1363.0
Chamiers Recreation Club,1338.0
Inside Edge Novated Leasing,1287.0
Rhea D.O.O.,1253.0
P S Recreation Club,1219.0
Fastspring,1179.0
Dsv Solutions A/S,1162.0
Icare Nsw,1150.0
Amazon.Co.Uk,1107.0
Backoffice Associates,1080.0
Oladi D.O.O.,1064.0
Integrated Personnel Services,1054.0
Mãœller Trgovina Zagreb D.O.O.,1051.0
Lunch Nutrition D.O.O.,1012.0
Winmaxi Tours & Travels,1001.0
Digitalna Produkcija J.D.O.O.,993.0
Computershare-Caboodle Technology Limited,981.0
Trending Technology Services Gmbh,961.0
"Godaddy.Com, Llc",923.0
